"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭","--- WORK_DTTM"
"7883","세종대로21길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.534"
"7884","세종대로22길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.534"
"7885","세종대로23길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:05.534"
"7886","세종대로2가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.534"
"7887","세종대로2길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:05.534"
"7888","세종대로2나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.534"
"7889","세종대로4길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.534"
"7890","세종대로5길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.534"
"7891","세종대로7길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:05.538"
"7892","세종대로9길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.538"
"7893","소공로","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.538"
"7894","소공로1길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.538"
"7895","소공로3길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.538"
"7896","소공로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.538"
"7897","소공로6가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.538"
"7898","소공로6길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.538"
"7899","소공로6나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.538"
"7900","소공로7길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:05.538"
"7901","소월로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.543"
"7902","소월로1길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.543"
"7903","소월로20길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.543"
"7904","소월로26길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.543"
"7905","소월로2가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.543"
"7906","소월로2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.543"
"7907","소월로2나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.543"
"7908","소월로2다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.543"
"7909","소월로30길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.543"
"7910","소월로38가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.543"
"7911","소월로38길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.548"
"7912","소월로3길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.548"
"7913","소월로40길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.548"
"7914","소월로44가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.548"
"7915","소월로44길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.548"
"7916","소파로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.548"
"7917","소파로4길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.548"
"7918","손기정로","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.548"
"7919","손기정로10길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.548"
"7920","손기정로12길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.548"
"7921","손기정로1길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.553"
"7922","손기정로3길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.553"
"7923","손기정로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.553"
"7924","손기정로4안길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.553"
"7925","손기정로5길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.553"
"7926","손기정로6길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.553"
"7927","손기정로7길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.553"
"7928","솔매로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.553"
"7929","솔매로10길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.553"
"7930","솔매로17가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.553"
"7931","솔매로17길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.558"
"7932","솔매로22가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.558"
"7933","솔매로22길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.558"
"7934","솔매로28길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.558"
"7935","솔매로30길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.558"
"7936","솔매로31길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.558"
"7937","솔매로35길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.558"
"7938","솔매로36길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.558"
"7939","솔매로37길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.558"
"7940","솔매로39길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.558"
"7941","솔매로40길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.563"
"7942","솔매로41길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.563"
"7943","솔매로43길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.563"
"7944","솔매로44길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.563"
"7945","솔매로45길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.563"
"7946","솔매로46길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.563"
"7947","솔매로49길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.563"
"7948","솔매로50가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.563"
"7949","솔매로50길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.563"
"7950","솔매로51길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.563"
"7951","솔매로52길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.568"
"7952","솔매로54길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.568"
"7953","솔매로6길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.568"
"7954","솔매로7가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.568"
"7955","솔매로7길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.568"
"7956","솔매로7나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.568"
"7957","솔매로7다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.568"
"7958","솔매로9길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.568"
"7959","솔밭로","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.568"
"7960","솔밭로2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.568"
"7961","솔밭로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.573"
"7962","솔밭로5길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.573"
"7963","솔밭로7길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.573"
"7964","솔샘로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.573"
"7965","솔샘로11길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.573"
"7966","솔샘로12길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.573"
"7967","솔샘로14가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.573"
"7968","솔샘로14길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.573"
"7969","솔샘로15가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.573"
"7970","솔샘로15길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.573"
"7971","솔샘로15나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.578"
"7972","솔샘로15다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.578"
"7973","솔샘로15라길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.578"
"7974","솔샘로16길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.578"
"7975","솔샘로17가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.578"
"7976","솔샘로17길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.578"
"7977","솔샘로18길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.578"
"7978","솔샘로1길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.578"
"7979","솔샘로20길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.578"
"7980","솔샘로24길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.578"
"7981","솔샘로25가길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:05.583"
"7982","솔샘로25길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:05.583"
"7983","솔샘로31길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.583"
"7984","솔샘로35가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.583"
"7985","솔샘로35길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.583"
"7986","솔샘로3길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.583"
"7987","솔샘로40길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.583"
"7988","솔샘로43길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.583"
"7989","솔샘로47가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.583"
"7990","솔샘로47길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.583"
"7991","솔샘로47나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.588"
"7992","솔샘로48길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.588"
"7993","솔샘로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.588"
"7994","솔샘로50길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.588"
"7995","솔샘로53길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.588"
"7996","솔샘로58길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.588"
"7997","솔샘로59가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.588"
"7998","솔샘로59길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.588"
"7999","솔샘로5가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.588"
"8000","솔샘로5길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.588"
"8001","솔샘로60가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.592"
"8002","솔샘로60길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.592"
"8003","솔샘로60나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.592"
"8004","솔샘로64가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.592"
"8005","솔샘로64길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.592"
"8006","솔샘로64나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.592"
"8007","솔샘로64다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.592"
"8008","솔샘로65길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.592"
"8009","솔샘로67길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:05.592"
"8010","솔샘로68길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.592"
"8011","솔샘로6가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.597"
"8012","솔샘로6길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.597"
"8013","솔샘로6나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.597"
"8014","솔샘로6다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.597"
"8015","솔샘로6라길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.597"
"8016","솔샘로6마길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.597"
"8017","솔샘로7길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.597"
"8018","솔샘로9길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.597"
"8019","송동길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.597"
"8020","송림길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.597"
"8021","송월1길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.602"
"8022","송월길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.602"
"8023","송이로","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:05.602"
"8024","송이로10길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.602"
"8025","송이로12길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.602"
"8026","송이로14길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.602"
"8027","송이로15길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.602"
"8028","송이로17길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.602"
"8029","송이로19길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.602"
"8030","송이로20길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.602"
"8031","송이로21길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.606"
"8032","송이로23길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.606"
"8033","송이로24길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.606"
"8034","송이로26길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.606"
"8035","송이로27길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.606"
"8036","송이로28길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.606"
"8037","송이로2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.606"
"8038","송이로30길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.606"
"8039","송이로31길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.606"
"8040","송이로32길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.606"
"8041","송이로33길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.611"
"8042","송이로34길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.611"
"8043","송이로36길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.611"
"8044","송이로37가길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.611"
"8045","송이로37길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.611"
"8046","송이로38길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.611"
"8047","송이로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.611"
"8048","송이로6길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.611"
"8049","송이로8길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.611"
"8050","송정10길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.611"
"8051","송정12가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.616"
"8052","송정12길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.616"
"8053","송정12나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.616"
"8054","송정12다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.616"
"8055","송정12라길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.616"
"8056","송정12마길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.616"
"8057","송정12바길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.616"
"8058","송정14길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.616"
"8059","송정16길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.616"
"8060","송정18가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.616"
"8061","송정18길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.621"
"8062","송정2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.621"
"8063","송정4가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.621"
"8064","송정4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.621"
"8065","송정6길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.621"
"8066","송정8길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.621"
"8067","송정~상봉선","일반도로","보조간선도로","중로3류","폭12-15m","2026-01-22 11:18:05.621"
"8068","송정길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.621"
"8069","송정로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.621"
"8070","송정로1길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.621"
"8071","송정로3길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.625"
"8072","송정로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.626"
"8073","송정로6길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.626"
"8074","송죽길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.626"
"8075","송파대로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.626"
"8076","송파대로14길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.626"
"8077","송파대로16길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.626"
"8078","송파대로18길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.626"
"8079","송파대로20길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.626"
"8080","송파대로22길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.626"
"8081","송파대로24길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.63"
"8082","송파대로26길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:05.63"
"8083","송파대로27길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.63"
"8084","송파대로28길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:05.63"
"8085","송파대로30길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.63"
"8086","송파대로32길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.63"
"8087","송파대로34가길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.63"
"8088","송파대로34길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.63"
"8089","송파대로36가길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.63"
"8090","송파대로36길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.63"
"8091","송파대로37길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:05.635"
"8092","송파대로38길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.635"
"8093","송파대로39길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.635"
"8094","송파대로40길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.635"
"8095","송파대로42길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.635"
"8096","송파대로43길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.635"
"8097","송파대로44길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.635"
"8098","송파대로45길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.635"
"8099","송파대로46길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.635"
"8100","송파대로47길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.635"
"8101","송파대로48길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.64"
"8102","송파대로49길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.64"
"8103","송파대로60길","일반도로","국지도로","확인","불가","2026-01-22 11:18:05.64"
"8104","송파대로6길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:05.64"
"8105","송파대로8길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:05.64"
"8106","송파둘레길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.64"
"8107","수도권제1순환고속도로","일반도로","기타","대로3류","폭25-30m","2026-01-22 11:18:05.64"
"8108","수락산로","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.64"
"8109","수락산로2길","일반도로","국지도로","확인","불가","2026-01-22 11:18:05.64"
"8110","수락산로8가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.64"
"8111","수락산로8길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.645"
"8112","수명로","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:05.645"
"8113","수명로1길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:05.645"
"8114","수명로2가길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:05.645"
"8115","수명로2길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:05.645"
"8116","수명로6길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:05.645"
"8117","수색로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.645"
"8118","수색로10길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.645"
"8119","수색로12길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.645"
"8120","수색로14길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.645"
"8121","수색로16길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:05.65"
"8122","수색로18길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:05.65"
"8123","수색로22가길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.65"
"8124","수색로22길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.65"
"8125","수색로22나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.65"
"8126","수색로24길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:05.65"
"8127","수색로2길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.65"
"8128","수색로4가길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.65"
"8129","수색로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.65"
"8130","수색로4나길","일반도로","국지도로","소로2류","폭8-10m","2026-01-22 11:18:05.65"
"8131","수색로6길","일반도로","국지도로","중로1류","폭20-25m","2026-01-22 11:18:05.655"
"8132","수색로8가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.655"
"8133","수색로8길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.655"
"8134","수색로8나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.655"
"8135","수서~오금선","일반도로","보조간선도로","대로1류","폭35-40m","2026-01-22 11:18:05.655"
"8136","수유~상계7선","일반도로","보조간선도로","대로2류","폭30-35m","2026-01-22 11:18:05.655"
"8137","수유~상계선","일반도로","보조간선도로","대로2류","폭30-35m","2026-01-22 11:18:05.655"
"8138","수유로","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.655"
"8139","수유로12가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.655"
"8140","수유로12길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.655"
"8141","수유로13길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.659"
"8142","수유로17가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.659"
"8143","수유로17길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.659"
"8144","수유로17나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.659"
"8145","수유로21길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.659"
"8146","수유로23가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.659"
"8147","수유로23길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.659"
"8148","수유로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.659"
"8149","수유로5길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.659"
"8150","수유로8길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.659"
"8151","수표로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.664"
"8152","수표로10길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.664"
"8153","수표로12길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.664"
"8154","수표로18가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.664"
"8155","수표로18길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.664"
"8156","수표로20길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.664"
"8157","수표로22길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.664"
"8158","수표로26길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.664"
"8159","수표로28길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.664"
"8160","수표로2길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:05.664"
"8161","수표로4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.669"
"8162","수표로6길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.669"
"8163","숙선옹주로","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:05.669"
"8164","숙선옹주로3길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.669"
"8165","숙선옹주로5길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.669"
"8166","숙선옹주로7길","일반도로","국지도로","소로1류","폭10-12m","2026-01-22 11:18:05.669"
"8167","숙선옹주로9길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:05.669"
"8168","숭문16가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.669"
"8169","숭문16길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.669"
"8170","숭문16나길","일반도로","국지도로","소로3류","폭6-8m","2026-01-22 11:18:05.669"
"8171","숭문16다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.674"
"8172","숭문2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.674"
"8173","숭문4길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.674"
"8174","숭문4안길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.674"
"8175","숭문5길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.674"
"8176","숭문6길","일반도로","국지도로","중로2류","폭15-20m","2026-01-22 11:18:05.674"
"8177","숭문길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.674"
"8178","숭인동1가길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.674"
"8179","숭인동1길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.674"
"8180","숭인동1나길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.674"
"8181","숭인동1다길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.679"
"8182","숭인동2길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.679"
"8183","숭인동길","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.679"
"8184","숭인로","일반도로","국지도로","소로","6m미만","2026-01-22 11:18:05.679"
